epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1585,0.24313,1.75674,0.1439,0.60572,0.69771,0.60937,0.51316,0.33125,0.65789,0.26582,0.000283744,0.000283744,0.000283744
2,111.789,0.1163,0.28277,0.05139,0.78108,0.73532,0.77945,0.61455,0.29997,0.52143,0.23149,0.000569405,0.000569405,0.000569405
3,167.236,0.10475,0.21342,0.0422,0.8024,0.80237,0.81769,0.65408,0.29308,0.50994,0.28605,0.000854508,0.000854508,0.000854508
4,222.492,0.09818,0.21201,0.04234,0.72477,0.82025,0.78275,0.65881,0.23579,0.5208,0.17731,0.00113864,0.00113864,0.00113864
5,278.426,0.09901,0.24488,0.0414,0.7028,0.77513,0.70472,0.56882,0.36087,0.78102,0.31069,0.00142137,0.00142137,0.00142137
6,332.104,0.09723,0.23831,0.04356,0.68335,0.78008,0.71757,0.57128,0.32446,0.57276,0.2973,0.00142029,0.00142029,0.00142029
7,386.989,0.092,0.21827,0.03651,0.75449,0.73145,0.74112,0.60621,0.31375,0.55584,0.26477,0.00141647,0.00141647,0.00141647
8,441.736,0.08985,0.20153,0.03412,0.70211,0.75408,0.72929,0.59809,0.3122,0.59214,0.24179,0.00141196,0.00141196,0.00141196
9,497.392,0.08246,0.18134,0.03216,0.80733,0.70069,0.72212,0.60202,0.31756,0.72614,0.27613,0.00140678,0.00140678,0.00140678
10,552.691,0.09078,0.20876,0.04149,0.66456,0.67392,0.69154,0.56277,0.35719,0.54614,0.27317,0.00140091,0.00140091,0.00140091
11,608.489,0.0848,0.22788,0.03929,0.66513,0.62345,0.62479,0.49533,0.29843,0.7383,0.29888,0.00139438,0.00139438,0.00139438
12,666.628,0.09094,0.26634,0.03552,0.7782,0.76577,0.79979,0.6681,0.26621,0.56499,0.24812,0.00138718,0.00138718,0.00138718
13,722.288,0.07393,0.1782,0.02819,0.77974,0.776,0.77806,0.6437,0.25284,0.56254,0.21901,0.00137933,0.00137933,0.00137933
14,777.202,0.07422,0.17088,0.02425,0.77657,0.76221,0.75733,0.60165,0.29414,0.63059,0.24279,0.00137082,0.00137082,0.00137082
15,838.695,0.07763,0.17212,0.02817,0.71032,0.72534,0.69824,0.58597,0.3197,0.56125,0.30184,0.00136168,0.00136168,0.00136168
16,894.493,0.07135,0.15652,0.02701,0.83425,0.74254,0.78992,0.64764,0.30511,0.55953,0.27186,0.0013519,0.0013519,0.0013519
17,949.689,0.06367,0.14443,0.02447,0.82924,0.76025,0.8071,0.62758,0.32179,0.56129,0.28939,0.0013415,0.0013415,0.0013415
18,1004.39,0.07415,0.16227,0.03556,0.77882,0.75515,0.75893,0.5823,0.33925,0.57353,0.28701,0.0013305,0.0013305,0.0013305
19,1059.84,0.07484,0.16307,0.02975,0.79275,0.7761,0.78223,0.64108,0.2604,0.57777,0.21807,0.00131888,0.00131888,0.00131888
20,1115.9,0.08088,0.1967,0.03373,0.76566,0.7557,0.73451,0.59411,0.26472,0.63757,0.22641,0.00130668,0.00130668,0.00130668
21,1170.89,0.07725,0.19471,0.03347,0.69583,0.53649,0.57626,0.44849,0.41939,0.86284,0.43294,0.00129391,0.00129391,0.00129391
22,1226.39,0.07126,0.19655,0.02929,0.81069,0.57839,0.66836,0.53823,0.39537,0.66321,0.35684,0.00128057,0.00128057,0.00128057
23,1281.65,0.09025,0.22054,0.03976,0.70997,0.70779,0.72204,0.57115,0.33881,0.72379,0.31602,0.00126667,0.00126667,0.00126667
24,1336.49,0.07897,0.1982,0.03696,0.7361,0.52399,0.57447,0.41551,0.46456,0.94958,0.4376,0.00125224,0.00125224,0.00125224
25,1396.51,0.07335,0.17354,0.02775,0.76743,0.72642,0.78778,0.61277,0.33279,0.57321,0.26448,0.00123728,0.00123728,0.00123728
26,1451.33,0.06551,0.14756,0.0251,0.71406,0.76387,0.77115,0.63308,0.27661,0.61598,0.2768,0.00122182,0.00122182,0.00122182
27,1505.69,0.06522,0.14381,0.02228,0.74523,0.79177,0.77298,0.61763,0.31311,0.6064,0.27993,0.00120586,0.00120586,0.00120586
28,1561.29,0.06464,0.13748,0.02108,0.7069,0.76242,0.75878,0.61478,0.30172,0.66503,0.26066,0.00118943,0.00118943,0.00118943
29,1621.75,0.06163,0.13363,0.0194,0.80914,0.79827,0.80648,0.65718,0.28484,0.56316,0.24682,0.00117253,0.00117253,0.00117253
30,1677.03,0.05466,0.12064,0.01821,0.80234,0.76327,0.79375,0.63944,0.28923,0.54527,0.29302,0.00115519,0.00115519,0.00115519
31,1732.41,0.05236,0.12552,0.01849,0.78554,0.76989,0.77852,0.64837,0.31714,0.55604,0.28663,0.00113742,0.00113742,0.00113742
32,1793.99,0.05405,0.12718,0.01981,0.83017,0.73244,0.76207,0.62332,0.30861,0.56282,0.27215,0.00111924,0.00111924,0.00111924
